stop_id,stop_code,stop_name,stop_lat,stop_lon
104074,104074,MEMORIAL DR SE@824,33.746636,-84.360574
104076,104076,MEMORIAL DR SE@PEARL ST SE,33.746653,-84.362193
104078,104078,MEMORIAL DR SE@PEARL ST SE,33.746591,-84.362291
104436,104436,MEMORIAL DR SE@VENICE DR,33.747217,-84.286047
105002,105002,FLAT SHOALS SE@MAY AVE SE,33.739031,-84.344027
105004,105004,FLAT SHOALS SE@MILTON PL SE,33.736149,-84.341777
105006,105006,FLAT SHOALS AVE SE @ ORMEWOOD AVE SE,33.734583,-84.341026
105016,105016,FLAT SHOALS RD SE@LEAH LN SE,33.729303,-84.328669
105018,105018,FLAT SHOALS RD SE@1909,33.727647,-84.325332
105038,105038,GLENWOOD AVE SE@MAYNARD TER SE,33.739963,-84.334886
105040,105040,GLENWOOD AVE SE@CLIFTON ST SE,33.739919,-84.33231
105042,105042,GLENWOOD AVE SE@WINTHROP DR SE,33.739874,-84.330647
105043,105043,GLENWOOD AVE SE@WINTHROP DR SE,33.739754,-84.329835
105044,105044,GLENWOOD AVE SE@HOWARD ST SE,33.73968,-84.3264
105074,105074,GLENWOOD AVE SE @ WINTHROP DR SE,33.739928,-84.330071
105075,105075,GLENWOOD AVE SE @ CLIFTON ST SE,33.73999,-84.33256
105076,105076,GLENWOOD AVE SE @ MAYNARD TER SE,33.740035,-84.334778
105094,105094,FLAT SHOALS RD SE@1930,33.72776,-84.325432
105096,105096,FLAT SHOALS RD SE@HILLBURN DR SE,33.728766,-84.326887
105098,105098,FLAT SHOALS RD SE@LEAH LN SE,33.729357,-84.328582
105107,105107,FLAT SHOALS RD SE@HILLBURN DR SE,33.728703,-84.327212
105116,105116,FLAT SHOALS AVE SE@BLAKE AVE SE,33.733214,-84.33932
105118,105118,FLAT SHOALS AVE SE@ORMEWOOD AVE SE,33.734162,-84.340396
105120,105120,FLAT SHOALS AVE SE@VAN EPPS AVE SE,33.736749,-84.342005
105122,105122,FLAT SHOALS AVE SE@NEWTON AVE SE,33.737617,-84.342476
105124,105124,BOULDERCREST DR SE@PIPER CIR SE,33.72686,-84.33315
105126,105126,BOULDERCREST DR SE@STALLINGS AVE SE,33.727843,-84.333635
105130,105130,BOULDERCREST DR SE@FLAT SHOALS RD S,33.730708,-84.336396
105134,105134,CLOVERDALE DR SE@CRESTWOOD DR SE,33.730752,-84.339385
105136,105136,GREENLEAF RD SE@CLOVERDALE DR SE,33.729195,-84.339667
105138,105138,GREENLEAF RD SE@EDGEMORE DR SE,33.729248,-84.342264
105140,105140,GREENLEAF RD SE@SHADOWRIDGE DR SE,33.72924,-84.34343
105142,105142,STOKESWOOD AVE SE@GREENLEAF RD SE,33.72959,-84.34476
105144,105144,STOKESWOOD AVE SE@OAKFIELD DR SE,33.73187,-84.34471
